"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00180193","ANNAPOLIS POLICE BAR, MD US","38.99361","-76.5075","7.6","2000-01-01",,,,,"0.00",",,0,1700","0.0",",,0","0.0",",,0",,,"60",",,0","26",",,0","46",",,0,1700"
"USC00180193","ANNAPOLIS POLICE BAR, MD US","38.99361","-76.5075","7.6","2000-01-02",,,,,"0.00",",,0,1700","0.0",",,0","0.0",",,0",,,"68",",,0","38",",,0","54",",,0,1700"
"USC00180193","ANNAPOLIS POLICE BAR, MD US","38.99361","-76.5075","7.6","2000-01-03",,,,,"0.00",",,0,1700","0.0",",,0","0.0",",,0",,,"68",",,0","28",",,0","55",",,0,1700"
"USC00180193","ANNAPOLIS POLICE BAR, MD US","38.99361","-76.5075","7.6","2000-01-04",,,,,"0.77",",,0,1700","0.0",",,0","0.0",",,0",,,"73",",,0","47",",,0","47",",,0,1700"
"USC00180193","ANNAPOLIS POLICE BAR, MD US","38.99361","-76.5075","7.6","2000-01-05",,,,,"2.00",",,0,1700","0.0",",,0","0.0",",,0",,,"50",",,0","38",",,0","40",",,0,1700"
"USC00180193","ANNAPOLIS POLICE BAR, MD US","38.99361","-76.5075","7.6","2000-01-06",,,,,"0.00",",,0,1700","0.0",",,0","0.0",",,0",,,"61",",,0","26",",,0","38",",,0,1700"
"USC00180193","ANNAPOLIS POLICE BAR, MD US","38.99361","-76.5075","7.6","2000-01-07",,,,,"0.00",",,0,1700","0.0",",,0","0.0",",,0",,,"60",",,0","28",",,0","36",",,0,1700"
"USC00180193","ANNAPOLIS POLICE BAR, MD US","38.99361","-76.5075","7.6","2000-01-08",,,,,"0.00",",,0,1700","0.0",",,0","0.0",",,0",,,"55",",,0","27",",,0","37",",,0,1700"
"USC00180193","ANNAPOLIS POLICE BAR, MD US","38.99361","-76.5075","7.6","2000-01-09",,,,,"0.05",",,0,1700","0.0",",,0","0.0",",,0",,,"47",",,0","36",",,0","41",",,0,1700"
"USC00180193","ANNAPOLIS POLICE BAR, MD US","38.99361","-76.5075","7.6","2000-01-10",,,,,"0.44",",,0,1700","0.0",",,0","0.0",",,0",,,"55",",,0","40",",,0","48",",,0,1700"
"USC00180193","ANNAPOLIS POLICE BAR, MD US","38.99361","-76.5075","7.6","2000-01-11",,,,,"0.03",",,0,1700","0.0",",,0","0.0",",,0",,,"56",",,0","30",",,0","52",",,0,1700"
"USC00180193","ANNAPOLIS POLICE BAR, MD US","38.99361","-76.5075","7.6","2000-01-12",,,,,"0.00",",,0,1700","0.0",",,0","0.0",",,0",,,"52",",,0","30",",,0","42",",,0,1700"
"USC00180193","ANNAPOLIS POLICE BAR, MD US","38.99361","-76.5075","7.6","2000-01-13",,,,,"0.00",",,0,1700","0.0",",,0","0.0",",,0",,,"56",",,0","38",",,0","40",",,0,1700"
"USC00180193","ANNAPOLIS POLICE BAR, MD US","38.99361","-76.5075","7.6","2000-01-14",,,,,"0.00",",,0,1700","0.0",",,0","0.0",",,0",,,"50",",,0","24",",,0","38",",,0,1700"
"USC00180193","ANNAPOLIS POLICE BAR, MD US","38.99361","-76.5075","7.6","2000-01-15",,,,,"0.00",",,0,1700","0.0",",,0","0.0",",,0",,,"38",",,0","20",",,0","30",",I,0,1700"
"USC00180193","ANNAPOLIS POLICE BAR, MD US","38.99361","-76.5075","7.6","2000-01-16",,,,,"0.00",",,0,1700","0.0",",,0","0.0",",,0",,,"54",",,0","34",",I,0","48",",,0,1700"
"USC00180193","ANNAPOLIS POLICE BAR, MD US","38.99361","-76.5075","7.6","2000-01-17",,,,,"0.00",",,0,1700","0.0",",,0","0.0",",,0",,,"51",",,0","19",",,0","21",",,0,1700"
"USC00180193","ANNAPOLIS POLICE BAR, MD US","38.99361","-76.5075","7.6","2000-01-18",,,,,"0.00",",,0,1700","0.0",",,0","0.0",",,0",,,"22",",,0","12",",,0","19",",,0,1700"
"USC00180193","ANNAPOLIS POLICE BAR, MD US","38.99361","-76.5075","7.6","2000-01-19",,,,,"0.00",",,0,1700","0.0",",,0","0.0",",,0",,,"38",",,0","18",",,0","32",",,0,1700"
"USC00180193","ANNAPOLIS POLICE BAR, MD US","38.99361","-76.5075","7.6","2000-01-20",,,,,,,"3.0",",,0","3.0",",,0",,,"34",",,0","28",",,0","32",",,0,1700"
"USC00180193","ANNAPOLIS POLICE BAR, MD US","38.99361","-76.5075","7.6","2000-01-21",,,,,"0.00",",,0,1700","0.0",",,0","0.0",",,0",,,"32",",,0","14",",,0","20",",,0,1700"
"USC00180193","ANNAPOLIS POLICE BAR, MD US","38.99361","-76.5075","7.6","2000-01-22",,,,,"0.00",",,0,1700","0.0",",,0","0.0",",,0",,,"26",",,0","12",",,0","24",",,0,1700"
"USC00180193","ANNAPOLIS POLICE BAR, MD US","38.99361","-76.5075","7.6","2000-01-23",,,,,"0.00",",,0,1700","0.0",",,0","0.0",",,0",,,"29",",,0","20",",,0","29",",,0,1700"
"USC00180193","ANNAPOLIS POLICE BAR, MD US","38.99361","-76.5075","7.6","2000-01-24",,,,,"0.00",",,0,1700","0.0",",,0","0.0",",,0",,,"31",",,0","18",",,0","24",",,0,1700"
"USC00180193","ANNAPOLIS POLICE BAR, MD US","38.99361","-76.5075","7.6","2000-01-25",,,,,,,"13.0",",,0","13.0",",,0",,,"33",",,0","16",",,0","27",",,0,1700"
"USC00180193","ANNAPOLIS POLICE BAR, MD US","38.99361","-76.5075","7.6","2000-01-26",,,,,,,"16.0",",,0","16.0",",,0",,,"27",",,0","16",",,0","24",",,0,1700"
"USC00180193","ANNAPOLIS POLICE BAR, MD US","38.99361","-76.5075","7.6","2000-01-27",,,,,"0.00",",,0,1700","0.0",",,0","14.0",",,0",,,"24",",,0","13",",,0","20",",,0,1700"
"USC00180193","ANNAPOLIS POLICE BAR, MD US","38.99361","-76.5075","7.6","2000-01-28",,,,,"0.00",",,0,1700","0.0",",,0","11.0",",,0",,,"25",",,0","15",",,0","22",",,0,1700"
"USC00180193","ANNAPOLIS POLICE BAR, MD US","38.99361","-76.5075","7.6","2000-01-29",,,,,"0.00",",,0,1700","0.0",",,0","9.0",",,0",,,"27",",,0","17",",,0","24",",,0,1700"
"USC00180193","ANNAPOLIS POLICE BAR, MD US","38.99361","-76.5075","7.6","2000-01-30",,,,,,,"0.0","T,,0","7.0",",,0",,,"28",",,0","14",",,0","21",",,0,1700"
"USC00180193","ANNAPOLIS POLICE BAR, MD US","38.99361","-76.5075","7.6","2000-01-31",,,,,,,"2.0",",,0","8.0",",,0",,,"39",",,0","12",",,0","32",",,0,1700"
