STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES
USW00013752,"ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US",38.9913,-76.4891,1.8,1/1/2010,,,,,0,"T,,W,2400",,,,,,,43,",,W",31,",,W",,
USW00013752,"ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US",38.9913,-76.4891,1.8,1/2/2010,,,,,0,",,W,2400",,,,,,,31,",,W",21,",,W",,
USW00013752,"ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US",38.9913,-76.4891,1.8,1/3/2010,,,,,0,",,W,2400",,,,,,,29,",,W",18,",,W",,
USW00013752,"ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US",38.9913,-76.4891,1.8,1/4/2010,,,,,0,",,W,2400",,,,,,,34,",,W",23,",,W",,
USW00013752,"ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US",38.9913,-76.4891,1.8,1/5/2010,,,,,0,",,W,2400",,,,,,,35,",,W",27,",,W",,
USW00013752,"ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US",38.9913,-76.4891,1.8,1/6/2010,,,,,0,",,W,2400",,,,,,,38,",,W",30,",,W",,
USW00013752,"ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US",38.9913,-76.4891,1.8,1/7/2010,,,,,0.01,",,Z,2400",,,,,,,44,",,W",29,",,W",,
USW00013752,"ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US",38.9913,-76.4891,1.8,1/8/2010,,,,,0.08,",,Z,2400",,,,,,,32,",,W",24,",,W",,
USW00013752,"ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US",38.9913,-76.4891,1.8,1/9/2010,,,,,0,",,W,2400",,,,,,,34,",,W",24,",,W",,
USW00013752,"ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US",38.9913,-76.4891,1.8,1/10/2010,,,,,0,",,W,2400",,,,,,,32,",,W",22,",,W",,
USW00013752,"ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US",38.9913,-76.4891,1.8,1/11/2010,,,,,0.04,",,Z,2400",,,,,,,34,",,W",20,",,W",,
USW00013752,"ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US",38.9913,-76.4891,1.8,1/12/2010,,,,,0,",,W,2400",,,,,,,35,",,W",29,",,W",,
USW00013752,"ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US",38.9913,-76.4891,1.8,1/13/2010,,,,,0,",,W,2400",,,,,,,41,",,W",26,",,W",,
USW00013752,"ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US",38.9913,-76.4891,1.8,1/14/2010,,,,,0,",,W,2400",,,,,,,44,",,W",25,",,W",,
USW00013752,"ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US",38.9913,-76.4891,1.8,1/15/2010,,,,,0,",,W,2400",,,,,,,57,",,W",27,",,W",,
USW00013752,"ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US",38.9913,-76.4891,1.8,1/16/2010,,,,,0,",,W,2400",,,,,,,52,",,W",31,",,W",,
USW00013752,"ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US",38.9913,-76.4891,1.8,1/17/2010,,,,,0.84,",,W,2400",,,,,,,45,",,W",36,",,W",,
USW00013752,"ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US",38.9913,-76.4891,1.8,1/18/2010,,,,,0,",,W,2400",,,,,,,54,",,W",35,",,W",,
USW00013752,"ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US",38.9913,-76.4891,1.8,1/19/2010,,,,,0,",,W,2400",,,,,,,47,",,W",32,",,W",,
USW00013752,"ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US",38.9913,-76.4891,1.8,1/20/2010,,,,,0.01,",,W,2400",,,,,,,44,",,W",35,",,W",,
USW00013752,"ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US",38.9913,-76.4891,1.8,1/21/2010,,,,,0.08,",,W,2400",,,,,,,42,",,W",30,",,W",,
USW00013752,"ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US",38.9913,-76.4891,1.8,1/22/2010,,,,,0.05,",,Z,2400",,,,,,,42,",,W",35,",,W",,
USW00013752,"ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US",38.9913,-76.4891,1.8,1/23/2010,,,,,0,",,W,2400",,,,,,,40,",,W",33,",,W",,
USW00013752,"ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US",38.9913,-76.4891,1.8,1/24/2010,,,,,0.16,",,W,2400",,,,,,,51,",,W",35,",,W",,
USW00013752,"ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US",38.9913,-76.4891,1.8,1/25/2010,,,,,0.67,",,W,2400",,,,,,,66,",,W",44,",,W",,
USW00013752,"ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US",38.9913,-76.4891,1.8,1/26/2010,,,,,0,"T,,W,2400",,,,,,,47,",,W",35,",,W",,
USW00013752,"ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US",38.9913,-76.4891,1.8,1/27/2010,,,,,0,",,W,2400",,,,,,,45,",,W",29,",,W",,
USW00013752,"ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US",38.9913,-76.4891,1.8,1/28/2010,,,,,0,",,W,2400",,,,,,,52,",,W",28,",,W",,
USW00013752,"ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US",38.9913,-76.4891,1.8,1/29/2010,,,,,0,",,W,2400",,,,,,,28,",,W",21,",,W",,
USW00013752,"ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US",38.9913,-76.4891,1.8,1/30/2010,,,,,0.53,",,Z,2400",,,,,,,25,",,W",19,",,W",,
USW00013752,"ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US",38.9913,-76.4891,1.8,1/31/2010,,,,,0,"T,,W,2400",,,,,,,32,",,W",19,",,W",,
