DATE,PRCP,SNOW,TAVG,TMAX,TMIN
1/1/1980,0,0,33,45,21
1/2/1980,0,0,35.5,41,30
1/3/1980,0,0,38.5,44,33
1/4/1980,0.03,0,35,43,27
1/5/1980,0.5,,34,41,27
1/6/1980,0.09,,28.5,35,22
1/7/1980,0.05,0,32.5,40,25
1/8/1980,0,0,38,43,33
1/9/1980,0,0,36,40,32
1/10/1980,0,0,28.5,35,22
1/11/1980,0.17,0,41,50,32
1/12/1980,0.3,0,45.5,56,35
1/13/1980,0,0,35.5,44,27
1/14/1980,0,0,39.5,48,31
1/15/1980,0,0,47,54,40
1/16/1980,0,0,43,52,34
1/17/1980,0,0,40,49,31
1/18/1980,0.7,0,40.5,42,39
1/19/1980,0.55,0,41,47,35
1/20/1980,0,0,38.5,46,31
1/21/1980,0,0,35.5,46,25
1/22/1980,0.25,0,35,45,25
1/23/1980,0.17,0,40.5,44,37
1/24/1980,0,0,30.5,43,18
1/25/1980,0,0,30.5,43,18
1/26/1980,0.01,0,30.5,43,18
1/27/1980,0,0,34,41,27
1/28/1980,0,0,36,42,30
1/29/1980,0,0,36.5,41,32
1/30/1980,0,0,26.5,35,18
1/31/1980,0,0,27,34,20
1/1/1990,0.82,0,37,43,31
1/2/1990,0,0,32.5,47,18
1/3/1990,0,0,33,47,19
1/4/1990,0.11,0,38.5,56,21
1/5/1990,0.01,0,47.5,59,36
1/6/1990,0,0,40.5,48,33
1/7/1990,0,0,33,48,18
1/8/1990,0.63,0,32.5,40,25
1/9/1990,0.19,0,34.5,46,23
1/10/1990,0,0,41.5,52,31
1/11/1990,0,0,37.5,50,25
1/12/1990,0,0,42.5,53,32
1/13/1990,0,0,30,39,21
1/14/1990,0,0,32.5,45,20
1/15/1990,0.04,0,42,55,29
1/16/1990,0,0,45,66,24
1/17/1990,0,0,49,69,29
1/18/1990,0,0,56,73,39
1/19/1990,0,0,53.5,74,33
1/20/1990,0.02,0,35,41,29
1/21/1990,0.05,0,40.5,54,27
1/22/1990,0,0,41.5,59,24
1/23/1990,0,0,39.5,54,25
1/24/1990,0.02,0,45,55,35
1/25/1990,0.7,0,45.5,52,39
1/26/1990,1.06,0,42.5,57,28
1/27/1990,0,0,34.5,46,23
1/28/1990,0,0,43.5,55,32
1/29/1990,0.08,0,42.5,51,34
1/30/1990,0.26,0,42,53,31
1/31/1990,0,0,40,55,25
1/1/2000,0,0,43,60,26
1/2/2000,0,0,53,68,38
1/3/2000,0,0,48,68,28
1/4/2000,0.77,0,60,73,47
1/5/2000,2,0,44,50,38
1/6/2000,0,0,43.5,61,26
1/7/2000,0,0,44,60,28
1/8/2000,0,0,41,55,27
1/9/2000,0.05,0,41.5,47,36
1/10/2000,0.44,0,47.5,55,40
1/11/2000,0.03,0,43,56,30
1/12/2000,0,0,41,52,30
1/13/2000,0,0,47,56,38
1/14/2000,0,0,37,50,24
1/15/2000,0,0,29,38,20
1/16/2000,0,0,44,54,34
1/17/2000,0,0,35,51,19
1/18/2000,0,0,17,22,12
1/19/2000,0,0,28,38,18
1/20/2000,,3,31,34,28
1/21/2000,0,0,23,32,14
1/22/2000,0,0,19,26,12
1/23/2000,0,0,24.5,29,20
1/24/2000,0,0,24.5,31,18
1/25/2000,,13,24.5,33,16
1/26/2000,,16,21.5,27,16
1/27/2000,0,0,18.5,24,13
1/28/2000,0,0,20,25,15
1/29/2000,0,0,22,27,17
1/30/2000,,0,21,28,14
1/31/2000,,2,25.5,39,12
1/1/2010,0,,37,43,31
1/2/2010,0,,26,31,21
1/3/2010,0,,23.5,29,18
1/4/2010,0,,28.5,34,23
1/5/2010,0,,31,35,27
1/6/2010,0,,34,38,30
1/7/2010,0.01,,36.5,44,29
1/8/2010,0.08,,28,32,24
1/9/2010,0,,29,34,24
1/10/2010,0,,27,32,22
1/11/2010,0.04,,27,34,20
1/12/2010,0,,32,35,29
1/13/2010,0,,33.5,41,26
1/14/2010,0,,34.5,44,25
1/15/2010,0,,42,57,27
1/16/2010,0,,41.5,52,31
1/17/2010,0.84,,40.5,45,36
1/18/2010,0,,44.5,54,35
1/19/2010,0,,39.5,47,32
1/20/2010,0.01,,39.5,44,35
1/21/2010,0.08,,36,42,30
1/22/2010,0.05,,38.5,42,35
1/23/2010,0,,36.5,40,33
1/24/2010,0.16,,43,51,35
1/25/2010,0.67,,55,66,44
1/26/2010,0,,41,47,35
1/27/2010,0,,37,45,29
1/28/2010,0,,40,52,28
1/29/2010,0,,24.5,28,21
1/30/2010,0.53,,22,25,19
1/31/2010,0,,25.5,32,19
1/1/2020,0,,40.5,49,32
1/2/2020,0,,39,48,30
1/3/2020,0.12,,49,54,44
1/4/2020,0.25,,49,53,45
1/5/2020,0,,39.5,46,33
1/6/2020,0,,44,53,35
1/7/2020,0.2,,37.5,44,31
1/8/2020,0,,38,45,31
1/9/2020,0,,33,37,29
1/10/2020,0,,43,50,36
1/11/2020,0,,58.5,71,46
1/12/2020,0.21,,57.5,68,47
1/13/2020,0,,45.5,50,41
1/14/2020,0.01,,43.5,46,41
1/15/2020,0,,47,51,43
1/16/2020,0,,45,53,37
1/17/2020,0,,33.5,38,29
1/18/2020,0.21,,35,41,29
1/19/2020,0,,36,44,28
1/20/2020,0,,30,34,26
1/21/2020,0,,30.5,36,25
1/22/2020,,,29.5,36,23
1/23/2020,,,32,39,25
1/24/2020,,,40.5,51,30
1/25/2020,1.11,,46,51,41
1/26/2020,0,,41.5,48,35
1/27/2020,0,,41,48,34
1/28/2020,0,,41.5,44,39
1/29/2020,0,,38.5,44,33
1/30/2020,0,,34.5,38,31
1/31/2020,0,,39,45,33
1/1/2025,0,,45,49,41
1/2/2025,0,,36.5,41,32
1/3/2025,0.02,,35.5,42,29
1/4/2025,0,,28.5,32,25
1/5/2025,0,,27.5,33,22
1/6/2025,0.54,,28.5,32,25
1/7/2025,0,,29,35,23
1/8/2025,0,,27.5,31,24
1/9/2025,0,,27,32,22
1/10/2025,0,,28,34,22
1/11/2025,0.05,,31.5,36,27
1/12/2025,0,,32.5,41,24
1/13/2025,0,,36.5,47,26
